"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","URB usec","Info"
"1","0.000000","1.12.0","host","USB","82","","929242","URB_CONTROL in"
"2","1.257818","1.12.2","host","USB","72","0102000000000000","187060","URB_INTERRUPT in"
"3","2.313754","1.12.2","host","USB","72","0104000000000000","242996","URB_INTERRUPT in"
"4","3.177825","1.12.2","host","USB","72","0102000000000000","107067","URB_INTERRUPT in"
"5","4.033822","1.12.2","host","USB","72","0104000000000000","963064","URB_INTERRUPT in"
"6","4.777811","1.12.2","host","USB","72","0101000000000000","707053","URB_INTERRUPT in"
"7","6.457810","1.12.2","host","USB","72","0102000000000000","387052","URB_INTERRUPT in"
"8","7.089808","1.12.2","host","USB","72","0101000000000000","19050","URB_INTERRUPT in"
"9","8.265819","1.12.2","host","USB","72","0104000000000000","195061","URB_INTERRUPT in"
"10","9.057807","1.12.2","host","USB","72","0104000000000000","987049","URB_INTERRUPT in"
"11","10.097812","1.12.2","host","USB","72","0102000000000000","27054","URB_INTERRUPT in"
"12","10.873811","1.12.2","host","USB","72","0104000000000000","803053","URB_INTERRUPT in"
"13","11.681822","1.12.2","host","USB","72","0101000000000000","611064","URB_INTERRUPT in"
"14","12.825826","1.12.2","host","USB","72","0104000000000000","755068","URB_INTERRUPT in"
"15","13.705812","1.12.2","host","USB","72","0104000000000000","635054","URB_INTERRUPT in"
"16","14.497814","1.12.2","host","USB","72","0104000000000000","427056","URB_INTERRUPT in"
"17","15.441817","1.12.2","host","USB","72","0101000000000000","371059","URB_INTERRUPT in"
"18","23.457822","1.12.2","host","USB","72","0104000000000000","387064","URB_INTERRUPT in"
"19","24.369815","1.12.2","host","USB","72","0104000000000000","299057","URB_INTERRUPT in"
"20","25.209822","1.12.2","host","USB","72","0104000000000000","139064","URB_INTERRUPT in"
"21","26.073811","1.12.2","host","USB","72","0104000000000000","3053","URB_INTERRUPT in"
"22","26.945816","1.12.2","host","USB","72","0102000000000000","875058","URB_INTERRUPT in"
"23","27.785824","1.12.2","host","USB","72","0101000000000000","715066","URB_INTERRUPT in"
"24","29.873815","1.12.2","host","USB","72","0104000000000000","803057","URB_INTERRUPT in"
"25","30.601807","1.12.2","host","USB","72","0104000000000000","531049","URB_INTERRUPT in"
"26","31.489815","1.12.2","host","USB","72","0104000000000000","419057","URB_INTERRUPT in"
"27","32.441819","1.12.2","host","USB","72","0102000000000000","371061","URB_INTERRUPT in"
"28","33.561824","1.12.2","host","USB","72","0101000000000000","491066","URB_INTERRUPT in"
"29","34.577828","1.12.2","host","USB","72","0104000000000000","507070","URB_INTERRUPT in"
"30","35.377817","1.12.2","host","USB","72","0104000000000000","307059","URB_INTERRUPT in"
"31","36.137829","1.12.2","host","USB","72","0104000000000000","67071","URB_INTERRUPT in"
"32","38.169815","1.12.2","host","USB","72","0102000000000000","99057","URB_INTERRUPT in"
"33","38.705824","1.12.2","host","USB","72","0102000000000000","635066","URB_INTERRUPT in"
